Plaza,PlazaName,Date,TotalCars
21,Catskill,2018-12-22,131249
21,Catskill,2018-12-23,115201
21,Catskill,2018-12-24,120177
21,Catskill,2018-12-25,106867
21,Catskill,2018-12-26,131866
21,Catskill,2018-12-27,136330
21,Catskill,2018-12-28,128438
21,Catskill,2018-12-29,126238
21,Catskill,2018-12-30,113325
21,Catskill,2018-12-31,119779
21,Catskill,2019-01-01,104781
21,Catskill,2019-01-02,126052
21,Catskill,2019-01-03,130610
21,Catskill,2019-01-04,132948
21,Catskill,2019-01-05,109884
21,Catskill,2019-01-06,106870
21,Catskill,2019-01-07,127512
21,Catskill,2019-01-08,129998
21,Catskill,2019-01-09,133276
21,Catskill,2019-01-10,136106
21,Catskill,2019-01-11,143470
21,Catskill,2019-01-12,120124
21,Catskill,2019-01-13,106337
21,Catskill,2019-01-14,130899
21,Catskill,2019-01-15,134531
21,Catskill,2019-01-16,135701
21,Catskill,2019-01-17,143185
21,Catskill,2019-01-18,135716
21,Catskill,2019-01-19,104014
21,Catskill,2019-01-20,75645
21,Catskill,2019-01-21,110038
21,Catskill,2019-01-22,133082
21,Catskill,2019-01-23,134831
21,Catskill,2019-01-24,134234
21,Catskill,2019-01-25,146895
21,Catskill,2019-01-26,127289
21,Catskill,2019-01-27,115404
21,Catskill,2019-01-28,134516
21,Catskill,2019-01-29,129865
21,Catskill,2019-01-30,131742
21,Catskill,2019-01-31,132843
21,Catskill,2019-02-01,144670
21,Catskill,2019-02-02,118703
21,Catskill,2019-02-03,109363
21,Catskill,2019-02-04,134199
21,Catskill,2019-02-05,137808
21,Catskill,2019-02-06,138680
21,Catskill,2019-02-07,140997
21,Catskill,2019-02-08,147824
21,Catskill,2019-02-09,125335
21,Catskill,2019-02-10,116701
21,Catskill,2019-02-11,138222
21,Catskill,2019-02-12,98126
21,Catskill,2019-02-13,138093
21,Catskill,2019-02-14,146147
21,Catskill,2019-02-15,153744
21,Catskill,2019-02-16,124158
21,Catskill,2019-02-17,116689
21,Catskill,2019-02-18,118131
21,Catskill,2019-02-19,139756
21,Catskill,2019-02-20,119694
21,Catskill,2019-02-21,145098
21,Catskill,2019-02-22,151572
21,Catskill,2019-02-23,140142
21,Catskill,2019-02-24,115455
21,Catskill,2019-02-25,148241
21,Catskill,2019-02-26,140795
21,Catskill,2019-02-27,139791
21,Catskill,2019-02-28,147684
21,Catskill,2019-03-01,151356
21,Catskill,2019-03-02,114277
21,Catskill,2019-03-03,111301
21,Catskill,2019-03-04,110101
21,Catskill,2019-03-05,140253
21,Catskill,2019-03-06,144604
21,Catskill,2019-03-07,147735
21,Catskill,2019-03-08,158999
21,Catskill,2019-03-09,138677
21,Catskill,2019-03-10,118238
21,Catskill,2019-03-11,142328
21,Catskill,2019-03-12,137351
21,Catskill,2019-03-13,144906
21,Catskill,2019-03-14,151531
21,Catskill,2019-03-15,157611
21,Catskill,2019-03-16,142754
21,Catskill,2019-03-17,129932
21,Catskill,2019-03-18,141208
21,Catskill,2019-03-19,144597
21,Catskill,2019-03-20,147233
21,Catskill,2019-03-21,145120
21,Catskill,2019-03-22,152454
21,Catskill,2019-03-23,141156
21,Catskill,2019-03-24,136329
21,Catskill,2019-03-25,140943
21,Catskill,2019-03-26,141445
21,Catskill,2019-03-27,145887
21,Catskill,2019-03-28,152495
21,Catskill,2019-03-29,157764
21,Catskill,2019-03-30,137344
21,Catskill,2019-03-31,123939
21,Catskill,2019-04-01,140912
21,Catskill,2019-04-02,141273
21,Catskill,2019-04-03,145463
21,Catskill,2019-04-04,154272
21,Catskill,2019-04-05,152665
21,Catskill,2019-04-06,138114
21,Catskill,2019-04-07,131906
21,Catskill,2019-04-08,141394
21,Catskill,2019-04-09,144118
21,Catskill,2019-04-10,146830
21,Catskill,2019-04-11,151421
21,Catskill,2019-04-12,159205
21,Catskill,2019-04-13,144595
21,Catskill,2019-04-14,131095
21,Catskill,2019-04-15,141735
21,Catskill,2019-04-16,148449
21,Catskill,2019-04-17,154315
21,Catskill,2019-04-18,155409
